,Company,TypeName,Ram,Gpu,OpSys,Weight,Price,Touchscreen,IPS_Panel,Res_Per_Inches,Cpu_Brand,HDD,SSD
201,Lenovo,Notebook,4,Intel,Windows,2.1,26267.04,0,0,100.45466986113651,Intel Core i5,0,128
202,Acer,Notebook,8,Nvidia,Windows,2.23,39533.76,0,0,141.21199808219862,Intel Core i7,1000,0
203,Lenovo,Gaming,16,Nvidia,Windows,3.2,93186.72,0,1,141.21199808219862,Intel Core i7,1000,512
204,Dell,Workstation,16,Nvidia,Windows,2.8,162770.4,0,0,282.42399616439724,Other Intel Processor,1000,256
205,Lenovo,Gaming,16,Nvidia,No OS/Linux/Chrome/Android,2.4,74485.44,0,0,141.21199808219862,Intel Core i7,0,512
206,Dell,Notebook,6,Intel,Windows,2.3,23389.92,1,0,100.45466986113651,Intel Core i3,1000,0
207,Dell,Ultrabook,8,Intel,Windows,1.21,103842.72,1,1,331.2642361026012,Intel Core i7,0,256
208,Dell,Ultrabook,8,Intel,Windows,1.2,77202.72,0,0,165.6321180513006,Intel Core i7,0,256
209,Lenovo,Notebook,8,Intel,Windows,2.2,31808.16,0,0,100.45466986113651,Intel Core i5,0,256
210,Acer,Notebook,8,Nvidia,No OS/Linux/Chrome/Android,2.4,41505.12,0,0,141.21199808219862,Intel Core i7,1000,0
211,Asus,Gaming,16,Nvidia,Windows,2.9,74964.95999999999,0,0,127.33567457123111,Intel Core i7,1000,256
212,HP,Notebook,4,Intel,No OS/Linux/Chrome/Android,2.1,18594.72,0,0,141.21199808219862,Intel Core i3,500,0
213,Lenovo,Notebook,8,Intel,No OS/Linux/Chrome/Android,2.2,29250.72,0,0,141.21199808219862,Intel Core i5,0,256
215,Dell,Ultrabook,8,AMD,Windows,1.4,49650.5664,0,1,165.6321180513006,Intel Core i7,0,256
216,Lenovo,Notebook,8,Nvidia,No OS/Linux/Chrome/Android,2.8,31381.92,0,0,106.11306214269258,Intel Core i5,1000,0
217,HP,Notebook,8,Nvidia,Windows,1.63,54931.68,0,0,157.3505121487356,Intel Core i7,0,256
218,Dell,Ultrabook,8,Intel,Windows,1.6,61218.72,0,0,157.3505121487356,Intel Core i5,0,256
219,Dell,2 in 1 Convertible,16,Intel,Windows,1.62,68145.12,1,0,165.6321180513006,Intel Core i7,0,512
220,Dell,Notebook,8,AMD,No OS/Linux/Chrome/Android,2.2,36089.208,0,0,141.21199808219862,Intel Core i5,0,256
221,Lenovo,2 in 1 Convertible,8,Intel,Windows,1.74,47898.72,0,1,157.3505121487356,Intel Core i5,0,256
222,Toshiba,Ultrabook,8,Intel,Windows,1.2,72620.64,0,0,165.6321180513006,Intel Core i7,0,256
223,HP,Notebook,8,Intel,Windows,2.1,42304.32,0,0,141.21199808219862,Intel Core i5,1000,0
224,Dell,Gaming,16,Nvidia,Windows,4.42,130873.7952,0,1,127.33567457123111,Intel Core i7,1000,256
225,Acer,Notebook,8,Nvidia,Windows,2.2,44328.96,0,0,141.21199808219862,Intel Core i7,0,256
226,Dell,Notebook,16,AMD,Windows,2.3,45768.0528,1,0,141.21199808219862,Intel Core i7,1000,0
227,Asus,Notebook,8,Nvidia,Windows,2.0,40972.32,0,0,141.21199808219862,Intel Core i5,0,256
